Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Attachment,Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (development),Comment,Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
[PREP] Mattress Encasement Installation,GMLT-13,10134,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 2:33 PM,12/Jul/25 2:36 PM,13/Jul/25 10:18 PM,,,0,,,"As a family member sleeping in infested beds
I want to immediately install mattress encasements
So that I can contain existing bed bugs and prevent further spread while sleeping safely.

**Acceptance Criteria:**
1. Install encasements on all mattresses and box springs immediately
2. Ensure proper zipper closure and seal integrity
3. Verify encasements are bed bug proof and bite-proof rated
4. Check for tears or gaps after installation
5. Label encasements with installation date
6. Document bed bug activity before and after installation
7. Set up monitoring system to track effectiveness
8. Establish inspection schedule for encasement integrity",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i0008n:,,,,,{},,,,,10123,GMLT-3,PREP - Emergency Pest Response & Treatment Planning,To Do,12/Jul/25 2:33 PM
[PREP] Roach Control Supply Purchase,GMLT-14,10135,Story,Done,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,Done,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 2:33 PM,17/Jul/25 12:02 AM,16/Jul/25 11:27 PM,17/Jul/25 12:02 AM,,0,,,"As a family dealing with roach infestation
I want to purchase effective roach control products
So that I can begin elimination while focusing on bed bug treatment.

**Acceptance Criteria:**
1. Purchase multiple tubes of Advion cockroach gel bait
2. Buy bait stations for high-activity areas
3. Obtain boric acid powder as backup treatment
4. Purchase application syringes for precise gel placement
5. Buy protective equipment (gloves, masks)
6. Verify products are safe for use around children and pets
7. Read and understand all application instructions
8. Plan initial application schedule and reapplication timeline",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i0008r:,,,,,{},,,,,10123,GMLT-3,PREP - Emergency Pest Response & Treatment Planning,Done,17/Jul/25 12:02 AM
[PREP] Kitchen Storage Container Procurement,GMLT-15,10136,Story,Done,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,Done,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 2:33 PM,17/Jul/25 12:01 AM,17/Jul/25 12:01 AM,17/Jul/25 12:01 AM,,0,,,"As a family preparing for kitchen pest treatment
I want to obtain storage containers for all kitchen items
So that I can properly clean and treat cabinets while protecting dishes and food.

**Acceptance Criteria:**
1. Purchase enough containers to hold all cabinet contents
2. Obtain various sizes for dishes, cookware, and pantry items
3. Buy containers with tight-fitting lids for pest protection
4. Purchase labels for content identification
5. Verify containers are food-safe and stackable
6. Plan storage area for containers during treatment period
7. Calculate quantity needed by measuring cabinet contents
8. Consider clear containers for easy content identification",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i00093:,,,,,{},,,,,10123,GMLT-3,PREP - Emergency Pest Response & Treatment Planning,Done,17/Jul/25 12:01 AM
[PREP] Clothing Storage Bin Procurement,GMLT-16,10137,Story,Done,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,Done,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 2:33 PM,17/Jul/25 12:01 AM,16/Jul/25 11:26 PM,17/Jul/25 12:01 AM,,0,,,"As a family with extensive clothing to process
I want to obtain storage bins for clothing overflow
So that I can organize and protect clean clothes during treatment process.

**Acceptance Criteria:**
1. Purchase large stackable bins for adult clothing overflow
2. Buy medium bins for children's clothing organization
3. Obtain vacuum storage bags for seasonal items
4. Purchase bins with secure lids to prevent pest access
5. Buy labels and permanent markers for identification
6. Plan placement areas for bins during treatment
7. Calculate bin quantities based on clothing volume in each room
8. Consider different sizes for different family members",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i0009b:,,,,,{},,,,,10123,GMLT-3,PREP - Emergency Pest Response & Treatment Planning,Done,17/Jul/25 12:01 AM
[PREP] Treatment Decision Framework,GMLT-17,10138,Story,Done,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,Done,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 2:33 PM,17/Jul/25 12:12 AM,17/Jul/25 12:10 AM,17/Jul/25 12:12 AM,,0,,,"As a family evaluating treatment options
I want to establish a clear decision deadline and criteria
So that I can make an informed choice between DIY and professional treatment without delaying progress.

**Acceptance Criteria:**
1. Set decision deadline for end of Week 2
2. Establish evaluation criteria for DIY treatment effectiveness
3. Create budget comparison worksheet (DIY vs Professional costs)
4. Document family member input and concerns
5. Plan decision meeting with all stakeholders
6. Establish backup plan if first choice fails
7. Create timeline for implementation of chosen approach
8. Set progress milestones for effectiveness measurement",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i0008p:,,,,,{},,,,,10123,GMLT-3,PREP - Emergency Pest Response & Treatment Planning,Done,17/Jul/25 12:12 AM
[PREP] Family Communication Plan,GMLT-18,10139,Story,Done,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Medium,Done,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 2:33 PM,17/Jul/25 12:45 PM,17/Jul/25 2:12 AM,17/Jul/25 12:45 PM,,0,,,"As a family undertaking major home treatment
I want to establish clear communication protocols
So that everyone understands their role, safety requirements, and progress expectations.

**Acceptance Criteria:**
1. Create daily check-in schedule (15-minute family meetings)
2. Establish safety protocols for chemical applications
3. Assign age-appropriate tasks to each family member
4. Create progress tracking system visible to all
5. Plan weekly family review meetings
6. Establish emergency contacts and procedures
7. Document who can handle which chemicals and treatments
8. Create celebration milestones for motivation",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i0009r:,,,,,{},,,,,10123,GMLT-3,PREP - Emergency Pest Response & Treatment Planning,Done,17/Jul/25 12:45 PM
[MSTR] Initial Bed Bug Treatment Application,GMLT-19,10140,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,Highest,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:12 PM,12/Jul/25 3:18 PM,21/Jul/25 11:03 PM,,,0,adults-only,,"As a family member seeking immediate bed bug control
I want to apply initial chemical treatment to bed frame and furniture
So that I can begin eliminating bed bugs while preparing for comprehensive room organization.

**Acceptance Criteria:**
1. Apply residual bed bug spray to entire bed frame and headboard
2. Treat all furniture cracks, crevices, and joints thoroughly
3. Apply treatment to baseboards and carpet edges around bed
4. Use flashlight inspection to identify all potential hiding spots
5. Document treatment areas and application date
6. Set up bed bug interceptor traps under all bed legs
7. Establish 7-day monitoring schedule for bed bug activity
8. Follow all safety protocols and ventilation requirements",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i0009z:,,,,,{},,,,,10124,GMLT-4,MSTR - Master Bedroom Pest Elimination & Organization,To Do,12/Jul/25 3:12 PM
[MSTR] Dad's Dresser Contents Clearout and Sort,GMLT-20,10141,Story,Done,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,High,Done,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:12 PM,20/Jul/25 12:44 AM,20/Jul/25 12:44 AM,20/Jul/25 12:44 AM,,0,all-family,,"As a family organizing the master bedroom
I want to completely clear and sort all dresser contents
So that I can deep clean the furniture and organize belongings systematically.

**Acceptance Criteria:**
1. Remove all items from dresser top and drawers
2. Sort contents into keep, donate, and discard categories
3. Bag all clothing for high-heat washing schedule
4. Clean out drawers completely and inspect for bed bugs
5. Photograph dresser contents before and after for progress tracking
6. Create inventory list of items to be returned after treatment
7. Set aside items that need special care or dry cleaning
8. Prepare donation bags for immediate removal from home",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i0008o:,,,,,{},"19/Jul/25 12:25 AM;5ee5149e4833d00aae4fecc1;Started dresser cleanup. Removed items on top of dresser.

High Heat removal:

* Laptops
* Lighters
* Colgnes
* Other toiletries
* Select Shoes

Consider laundry service",,,,10124,GMLT-4,MSTR - Master Bedroom Pest Elimination & Organization,Done,20/Jul/25 12:44 AM
[MSTR] Dresser Deep Clean and Treatment,GMLT-21,10142,Story,In Progress,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,High,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:12 PM,20/Jul/25 12:46 AM,,,,0,adults-only,teen-assist,"As a family eliminating bed bug harborage areas
I want to thoroughly clean under and behind the dresser
So that I can eliminate hidden bed bugs and prepare the area for ongoing monitoring.

**Acceptance Criteria:**
1. Move dresser away from wall safely (2-person lift)
2. Vacuum thoroughly under and behind dresser location
3. Apply bed bug treatment to wall baseboards and carpet edges
4. Clean dresser exterior and interior with appropriate cleaners
5. Inspect and treat any cracks or joints in dresser construction
6. Clean wall area behind dresser and apply treatment if needed
7. Document any bed bug evidence found during cleaning
8. Return dresser to position with proper clearance for future cleaning",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i0008b:,,,,,{},,,,,10124,GMLT-4,MSTR - Master Bedroom Pest Elimination & Organization,In Progress,20/Jul/25 12:46 AM
[MSTR] Mom's Side Room Clearance and Treatment,GMLT-22,10143,Story,To Do,GMLT,Get My Life Together,software,HD Solutions,5ee5149e4833d00aae4fecc1,,High,,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,HD Solutions,5ee5149e4833d00aae4fecc1,12/Jul/25 3:12 PM,12/Jul/25 6:16 PM,,,,0,adults-lead,family-input,"As a family member reclaiming bedroom space
I want to completely clear and treat Erin's side of the room
So that I can eliminate clutter and bed bug hiding places while creating organized storage.

**Acceptance Criteria:**
1. Remove all items from Erin's bedside area and surfaces
2. Sort items into keep, relocate, donate, and discard categories
3. Apply bed bug treatment to all furniture and surfaces on Erin's side
4. Clean nightstand or side table thoroughly inside and out
5. Vacuum and treat carpet/flooring area completely
6. Organize kept items into designated storage solutions
7. Create designated spaces for daily items (phone charger, books, etc.)
8. Establish maintenance routine for keeping area organized",,HD Solutions,5ee5149e4833d00aae4fecc1,,,,,,,,,,,,,,,,,,,,,,,,0|i000an:,,,,,{},,,,,10124,GMLT-4,MSTR - Master Bedroom Pest Elimination & Organization,To Do,12/Jul/25 3:12 PM
